Name,Logging,Property,Easting,Northing,Lat,Long,Cam nr,series,,picture,species name,Species,Type,Nr,Total,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
02B,Yes,Yalbac,284998,1938089,17.51876800,-89.02518300,2,B,,141,Great Curassow,Crax rubra,Bird,2,,2020,3,19,7.14,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,256,Great Curassow,Crax rubra,Bird,2,,2020,7,7,6.45,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,368,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,12,14.42,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,97,Great Curassow,Crax rubra,Bird,2,,2020,7,22,7.36,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,376,Great Curassow,Crax rubra,Bird,2,,2020,8,8,6.23,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,285,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,31,11.39,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,301,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,31,12.01,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,217,Great Curassow,Crax rubra,Bird,2,,2020,9,25,6.49,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,225,Great Curassow,Crax rubra,Bird,2,,2020,9,25,12.05,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,201,Great Curassow,Crax rubra,Bird,2,,2020,10,25,6.23,,,,
03B,Yes,Yalbac,284474,1939228,17.52900600,-89.03022600,3,B,,175,Great Curassow,Crax rubra,Bird,2,,2020,3,24,6.32,,,,
03B,Yes,Yalbac,284474,1939228,17.52900600,-89.03022600,3,B,,1280,Great Curassow,Crax rubra,Bird,2,,2020,5,4,7.20,,,,
03D,Yes,Yalbac,284201,1939112,17.52793000,-89.03278700,3,D,,91,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,24,11.19,,,,
03D,Yes,Yalbac,284201,1939112,17.52793000,-89.03278700,3,D,,130,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,26,14.37,,,,
03D,Yes,Yalbac,284201,1939112,17.52793000,-89.03278700,3,D,,151,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,6,27,17.41,,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,178,Great Curassow,Crax rubra,Bird,2,,2020,8,11,6.12,,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,88,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,26,17.41,,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,100,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,7,26,18.17,,,,
03G,Yes,Yalbac,284578,1939508,17.531539,-89.029275,3,G,,37,Great Curassow,Crax rubra,Bird,2,,2020,9,24,15.48,,,,
03G,Yes,Yalbac,284578,1939508,17.531539,-89.029275,3,G,,106,Great Curassow,Crax rubra,Bird,2,,2020,9,27,6.28,,,,
03G,Yes,Yalbac,284578,1939508,17.531539,-89.029275,3,G,,151,Great Curassow,Crax rubra,Bird,2,,2020,10,1,6.16,,,,
03G,Yes,Yalbac,284578,1939508,17.531539,-89.029275,3,G,,175,Ocellated Turkey,Meleagris ocellata,Bird,2,,2020,10,1,7.29,,,,
06C,Yes,Yalbac,286216,1936445,17.50402900,-89.01355500,6,C,,643,Great Curassow,Crax rubra,Bird,2,,2020,6,9,7.58,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,3028,White-nosed Coati,Nasua narica,Mammal,2,,2020,4,13,17.56,,,,
01C,Yes,Yalbac,286793,1939897,17.53526600,-89.00846200,1,C,,199,Racoon,Procyon lotor,Mammal,2,,2020,5,17,2.59,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,211,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,6,28,1.32,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,85,Gray fox,Urocyon cinereoargenteus,Mammal,2,,2020,6,20,12.07,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,424,Gray fox,Urocyon cinereoargenteus,Mammal,2,,2020,7,13,16.23,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,103,Red Brocket Deer,Mazama temama,Mammal,2,,2020,6,21,12.02,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,316,White-tailed Deer,Odocoileus virginianus,Mammal,2,,2020,10,14,12.00,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,217,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,11,25,21.38,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,161,Agouti,Dasyprocta punctata,Mammal,2,,2020,10,8,11.07,,,,
03B,Yes,Yalbac,284474,1939228,17.52900600,-89.03022600,3,B,,19,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,3,14,20.59,,,,
03B,Yes,Yalbac,284474,1939228,17.52900600,-89.03022600,3,B,,688,Puma,Puma concolor,Mammal,2,,2020,4,17,7.49,,,,
03C,Yes,Yalbac,284478,1939229,17.52901000,-89.03019500,3,C,,421,Jaguar,Panthera onca,Mammal,2,,2020,6,7,22.32,,,,
03C,Yes,Yalbac,284478,1939229,17.52901000,-89.03019500,3,C,,286,White-nosed Coati,Nasua narica,Mammal,2,,2020,5,15,15.29,,,,
03D,Yes,Yalbac,284201,1939112,17.52793000,-89.03278700,3,D,,46,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,6,16,19.50,,,,
03D,Yes,Yalbac,284201,1939112,17.52793000,-89.03278700,3,D,,166,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,6,28,1.26,,,,
03D,Yes,Yalbac,284201,1939112,17.52793000,-89.03278700,3,D,,280,Baird's Tapir,Tapirus bairdii,Mammal,2,,2020,7,12,19.37,,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,121,Gray fox,Urocyon cinereoargenteus,Mammal,2,,2020,8,1,15.16,,,,
13F,Yes,Laguna Seca,289288,1951348,17.638948,-88.986102,13,F,,55,Ocellated Turkey,Meleagris ocellata,Bird,1,644,2020,10,17,6.00,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,2386,Great Curassow,Crax rubra,Bird,1,508,2020,4,2,7.11,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,442,Puma,Puma concolor,Mammal,1,132,2020,7,26,23.25,,,,
13F,Yes,Laguna Seca,289288,1951348,17.638948,-88.986102,13,F,,16,Baird's Tapir,Tapirus bairdii,Mammal,1,129,2020,9,24,20.08,,,,
13C,Yes,Laguna Seca,289865,1951697,17.64215300,-88.98069800,13,C,,97,Agouti,Dasyprocta punctata,Mammal,1,90,2020,6,4,16.29,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,50,Red Brocket Deer,Mazama temama,Mammal,1,47,2020,8,26,8.08,,,,
