Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,No_Sr,Easting,Northing,
Yalbac501c,501,C,,,500,Gray Fox,1,2015,5,30,4.44,4.5,,Bushnell,501 C,292447,1954693,
Yalbac506D,506,D,,,1,Gray Fox,1,2015,5,31,20.49,21,,Bushnell,506 D,291532,1956956,
Yalbac503D,503,D,,,58,Gray Fox,1,2015,6,1,6.42,6.5,,Bushnell,503 D,292559,1958254,
Yalbac506D,506,D,,,16,Gray Fox,1,2015,6,2,12.16,12.5,,Bushnell,506 D,291532,1956956,
Yalbac501D,501,D,,,37,Gray Fox,1,2015,6,4,0.15,0.5,,Bushnell,501 D,292588,1957992,
Yalbac506D,506,D,,,22,Gray Fox,1,2015,6,4,0.19,0.5,,Bushnell,506 D,291532,1956956,
Yalbac508D,508,D,,,15,Gray Fox,1,2015,6,5,15.2,15,,Scoutguard,508 D,280218,1935038,
Yalbac506D,506,D,,,34,Gray Fox,1,2015,6,6,11.42,11.5,,Bushnell,506 D,291532,1956956,
Yalbac503D,503,D,,,130,Gray Fox,1,2015,6,7,7.42,7.5,With prey,Bushnell,503 D,292559,1958254,
Yalbac506D,506,D,,,40,Gray Fox,1,2015,6,7,4.58,5,,Bushnell,506 D,291532,1956956,
Yalbac506D,506,D,,,43,Gray Fox,1,2015,6,7,9.01,9,,Bushnell,506 D,291532,1956956,
Yalbac506D,506,D,,,52,Gray Fox,1,2015,6,8,13.43,13.5,,Bushnell,506 D,291532,1956956,
Yalbac503D,503,D,,,173,Gray Fox,1,2015,6,9,10.27,10.5,With prey,Bushnell,503 D,292559,1958254,
Yalbac504D,504,D,,,38,Gray Fox,1,2015,6,9,11.59,12,,Scoutguard,504 D,291590,1956114,
Yalbac506D,506,D,,,55,Gray Fox,1,2015,6,9,1.02,1,,Bushnell,506 D,291532,1956956,
Yalbac506D,506,D,,,61,Gray Fox,1,2015,6,9,8.27,8.5,,Bushnell,506 D,291532,1956956,
Yalbac503D,503,D,,,217,Gray Fox,1,2015,6,10,11.45,12,With prey,Bushnell,503 D,292559,1958254,
Yalbac504D,504,D,,,45,Gray Fox,1,2015,6,11,12.27,12.5,,Scoutguard,504 D,291590,1956114,
Yalbac506D,506,D,,,70,Gray Fox,1,2015,6,11,3.54,4,,Bushnell,506 D,291532,1956956,
Yalbac506D,506,D,,,73,Gray Fox,1,2015,6,11,18.42,18.5,,Bushnell,506 D,291532,1956956,
Yalbac503D,503,D,,,262,Gray Fox,1,2015,6,12,13.01,13,,Bushnell,503 D,292559,1958254,
