Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,812A,286543,1935392,812,a,409,Chachalaca,1,,2,16,8.10,,bushnell,812A,Laguna Seca,no,,
,803A,289440,1956750,803,a,222,Clay-colored Thrush,1,,1,16,7.06,,bushnell,803A,Yalbac,no,,
,814A,289441,1941086,814,a,257,Clay-colored Thrush,1,,1,11,17.20,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,277,Clay-colored Thrush,1,,1,12,6.05,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,409,Clay-colored Thrush,1,,1,15,6.40,,bushnell,814A,Laguna Seca,no,,
,807B,291485,1956145,807,b,157,Clay-colored Thrush,1,,3,14,8.48,,bushnell,807B,Yalbac,no,,
,803B,289436,1956746,803,b,185,Collared Pecary,1,,3,17,7.35,,bushnell,803B,Yalbac,no,,
,803B,289436,1956746,803,b,389,Collared Pecary,1,,4,8,12.30,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,481,Collared Pecary,1,,4,1,9.41,,bushnell,810A,Laguna Seca,no,,
,812D,286087,1935581,812,d,136,Collared Pecary,1,,6,11,14.57,,bushnell,812D,Laguna Seca,no,,
,812E,287809,1935980,812,e,65,Collared Pecary,2,,7,4,15.24,plus piglet,bushnell,812E,Laguna Seca,no,,
,813A,287746,1943221,813,a,55,Common Opossum,1,,1,24,20.39,,bushnell,813A,Laguna Seca,no,,
,807A,292291,1954813,807,a,128,Common Opossum,1,,1,9,23.26,,bushnell,807A,Yalbac,no,,
,814A,289441,1941086,814,a,304,Common Opossum,1,,2,1,2.35,,bushnell,814A,Laguna Seca,no,,
,812A,286543,1935392,812,a,364,Common Opossum,1,,2,12,4.33,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,458,Common Opossum,1,,2,19,22.26,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,538,Common Opossum,1,,3,4,3.23,,bushnell,812A,Laguna Seca,no,,
,812B,286540,1935398,812,b,298,Common Opossum,1,,3,31,22.32,,bushnell,812B,Laguna Seca,no,,
,813B,288932,1943570,813,b,301,Common Opossum,1,,4,3,22.15,,bushnell,813B,Laguna Seca,no,,
,812B,286540,1935398,812,b,331,Common Opossum,1,,4,4,23.18,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,608,Common Opossum,1,,4,15,2.41,tail 1/3 white,bushnell,803B,Yalbac,no,,
,810D,285371,1935931,810,d,76,Common Opossum,1,,5,30,21.09,,bushnell,810D,Laguna Seca,no,,
,803D,293723,1956073,803,d,97,Common Opossum,1,,5,25,1.46,,bushnell,803D,Yalbac,no,,
,807D,289277,1956284,807,d,589,Common Opossum,1,,6,2,1.24,,bushnell,807D,Yalbac,no,,
,812E,287809,1935980,812,e,4,Common Opossum,1,,6,28,20.47,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,349,Common Opossum,1,,7,23,18.57,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,523,Common Opossum,1,,8,3,22.38,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,553,Common Opossum,1,,8,5,22.16,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,646,Common Opossum,1,,8,25,20.54,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,727,Common Opossum,1,,9,1,2.26,,bushnell,812E,Laguna Seca,no,,
,810F,285385,1935920,810,f,289,Common Opossum,1,,10,30,22.02,,bushnell,810F,Laguna Seca,no,,
,811G,287914,1943199,811,g,46,Common Opossum,1,,11,23,19.58,,bushnell,811G,Laguna Seca,no,,
,810G,285375,1935724,810,g,235,Common Opossum,1,,12,24,19.02,,bushnell,810G,Laguna Seca,no,,
,810G,285375,1935724,810,g,271,Common Opossum,1,,12,28,2.27,,bushnell,810G,Laguna Seca,no,,
,810E,285378,1935930,810,e,463,Common Opossum,1,,8,27,23.12,,bushnell,810E,Laguna Seca,no,,
,803B,289436,1956746,803,b,65,Crested guan,2,,3,11,9.00,,bushnell,803B,Yalbac,no,,
,813B,288932,1943570,813,b,286,Crested guan,2,,4,2,7.26,,bushnell,813B,Laguna Seca,no,,
,807B,291485,1956145,807,b,585,Crested guan,1,,4,3,8.01,,bushnell,807B,Yalbac,no,,
,807D,289277,1956284,807,d,125,Crested guan,2,,5,24,7.57,,bushnell,807D,Yalbac,no,,
,812D,286087,1935581,812,d,142,Crested guan,1,,6,12,7.07,,bushnell,812D,Laguna Seca,no,,
,803D,293723,1956073,803,d,626,Crested guan,1,,6,5,11.45,,bushnell,803D,Yalbac,no,,
,803D,293723,1956073,803,d,775,Crested guan,2,,6,13,9.45,,bushnell,803D,Yalbac,no,,
,803D,293723,1956073,803,d,937,Crested guan,1,,6,18,17.59,,bushnell,803D,Yalbac,no,,
,803D,293723,1956073,803,d,940,Crested guan,1,,6,19,13.55,,bushnell,803D,Yalbac,no,,
,803D,293723,1956073,803,d,1003,Crested guan,3,,6,26,10.15,"pa, ma + 1 chick",bushnell,803D,Yalbac,no,,
,810F,285385,1935920,810,f,295,Crested guan,2,,10,31,12.04,,bushnell,810F,Laguna Seca,no,,
,813G,287451,1942515,813,g,133,Crested guan,1,,12,13,9.50,,bushnell,813G,Laguna Seca,no,,
,810G,285375,1935724,810,g,196,Crested guan,3,,12,21,9.32,,bushnell,810G,Laguna Seca,no,,
,813G,287451,1942515,813,g,202,Crested guan,1,,12,22,16.37,,bushnell,813G,Laguna Seca,no,,
,810G,285375,1935724,810,g,205,Crested guan,1,,12,21,10.28,,bushnell,810G,Laguna Seca,no,,
,814G,287795,1943100,814,g,344,Gray Four-eyed Opossum,1,,12,16,2.34,,bushnell,814G,Laguna Seca,no,,
,814G,287795,1943100,814,g,376,Gray Four-eyed Opossum,1,,12,17,3.20,,bushnell,814G,Laguna Seca,no,,
,814G,287795,1943100,814,g,700,Gray Four-eyed Opossum,1,,12,24,19.29,,bushnell,814G,Laguna Seca,no,,
,803A,289440,1956750,803,a,8,Gray fox,1,,1,2,13.02,,bushnell,803A,Yalbac,no,,
,812A,286543,1935392,812,a,12,Gray fox,1,,1,2,9.29,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,13,Gray fox,1,,1,2,12.48,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,21,Gray fox,1,,1,3,3.47,,bushnell,814A,Laguna Seca,no,,
,802A,291990,1954863,802,a,22,Gray fox,1,2018,1,12,16.22,,Moultrie,802A,Yalbac,no,,
,812A,286543,1935392,812,a,25,Gray fox,1,,1,3,1.27,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,28,Gray fox,1,,1,3,5.12,,bushnell,812A,Laguna Seca,no,,
,802A,291990,1954863,802,a,34,Gray fox,1,2018,1,14,9.53,,Moultrie,802A,Yalbac,no,,
,803A,289440,1956750,803,a,35,Gray fox,1,,1,3,11.09,,bushnell,803A,Yalbac,no,,
,812A,286543,1935392,812,a,37,Gray fox,1,,1,5,5.12,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,46,Gray fox,1,,1,6,18.08,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,57,Gray fox,1,,1,4,7.05,,bushnell,814A,Laguna Seca,no,,
,812A,286543,1935392,812,a,58,Gray fox,1,,1,7,17.44,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,61,Gray fox,1,,1,4,10.20,,bushnell,814A,Laguna Seca,no,,
,812A,286543,1935392,812,a,64,Gray fox,1,,1,9,2.05,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,69,Gray fox,1,,1,4,18.13,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,73,Gray fox,1,,1,5,1.26,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,85,Gray fox,1,,1,5,9.27,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,97,Gray fox,1,,1,5,17.40,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,101,Gray fox,2,,1,7,4.31,,bushnell,803A,Yalbac,no,,
