"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"812A","812A",112,"Baird's Tapir",1,2018,1,14,3.52,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-01-14,2018-01-02,2018-03-05,63,"2018-01-14 3.52"
"812A","812A",256,"Baird's Tapir",1,2018,1,30,19.14,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-01-30,2018-01-02,2018-03-05,63,"2018-01-30 19.14"
"812A","812A",263,"Baird's Tapir",1,2018,1,31,21.55,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-01-31,2018-01-02,2018-03-05,63,"2018-01-31 21.55"
"812A","812A",352,"Baird's Tapir",1,2018,2,9,23.5,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-02-09,2018-01-02,2018-03-05,63,"2018-02-09 23.50"
"812A","812A",358,"Baird's Tapir",1,2018,2,10,20.34,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-02-10,2018-01-02,2018-03-05,63,"2018-02-10 20.34"
"812A","812A",442,"Baird's Tapir",1,2018,2,18,20.21,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-02-18,2018-01-02,2018-03-05,63,"2018-02-18 20.21"
"812A","812A",490,"Baird's Tapir",1,2018,2,25,4.5,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-02-25,2018-01-02,2018-03-05,63,"2018-02-25 4.50"
"803A","803A",524,"Baird's Tapir",1,2018,2,1,5.23,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-01,2018-01-02,2018-03-05,63,"2018-02-01 5.23"
"812A","812A",526,"Baird's Tapir",1,2018,3,1,4.38,"","bushnell","Laguna Seca","no","Yes",286543,1935392,"Laguna Seca","no",2018-03-01,2018-01-02,2018-03-05,63,"2018-03-01 4.38"
"803A","803A",971,"Baird's Tapir",1,2018,2,27,22.41,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-27,2018-01-02,2018-03-05,63,"2018-02-27 22.41"
"812B","812B",13,"Baird's Tapir",1,2018,3,6,22.45,"","bushnell","Laguna Seca","no","Yes",286540,1935398,"Laguna Seca","no",2018-03-06,2018-03-05,2018-04-20,46,"2018-03-06 22.45"
"803B","803B",32,"Baird's Tapir",1,2018,3,8,6.44,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-03-08,2018-03-05,2018-04-20,46,"2018-03-08 6.44"
"812B","812B",52,"Baird's Tapir",1,2018,3,10,21.27,"","bushnell","Laguna Seca","no","Yes",286540,1935398,"Laguna Seca","no",2018-03-10,2018-03-05,2018-04-20,46,"2018-03-10 21.27"
