"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"501F","Yalbac501f",501,"F",178,"Agouti",1,2015,11,1,7.31,7.5,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-11-01,2015-11-10,55,48," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-01 7.31",2015-09-15
"501F","Yalbac501f",501,"F",182,"Agouti",1,2015,11,1,8.28,8.5,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-11-01,2015-11-10,55,48," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-01 8.28",2015-09-15
"506G","Yalbac506G",506,"G",16,"Agouti",1,2015,11,10,6.55,7,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-10,2016-01-10,61,2," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-10 6.55",2015-11-09
"506G","Yalbac506G",506,"G",121,"Agouti",1,2015,11,12,7.34,7.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-12,2016-01-10,61,4," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-12 7.34",2015-11-09
"505G","Yalbac505G",505,"G",19,"Agouti",1,2015,11,14,7.22,7.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-14,2016-01-10,61,6," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-14 7.22",2015-11-09
"506G","Yalbac506G",506,"G",175,"Agouti",1,2015,11,17,7.38,7.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-17,2016-01-10,61,9," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-17 7.38",2015-11-09
"506G","Yalbac506G",506,"G",187,"Agouti",1,2015,11,19,7.57,8,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-19,2016-01-10,61,11," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-19 7.57",2015-11-09
"505G","Yalbac505G",505,"G",37,"Agouti",1,2015,11,23,6.26,6.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-23,2016-01-10,61,15," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-23 6.26",2015-11-09
"505G","Yalbac505G",505,"G",55,"Agouti",1,2015,11,27,6.23,6.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-27,2016-01-10,61,19," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-27 6.23",2015-11-09
"506G","Yalbac506G",506,"G",250,"Agouti",1,2015,11,28,8.57,9,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-28,2016-01-10,61,20," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-28 8.57",2015-11-09
"507H","Yalbac507H",507,"H",19,"Agouti",1,2015,12,1,4.22,4.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-01,2016-03-01,90,1,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-01 4.22",2015-12-01
"506G","Yalbac506G",506,"G",280,"Agouti",1,2015,12,2,12.38,12.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-12-02,2016-01-10,61,24," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-12-02 12.38",2015-11-09
"507H","Yalbac507H",507,"H",34,"Agouti",1,2015,12,2,4.21,4.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-02,2016-03-01,90,2,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-02 4.21",2015-12-01
"506G","Yalbac506G",506,"G",295,"Agouti",1,2015,12,5,6.44,6.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-12-05,2016-01-10,61,27," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-12-05 6.44",2015-11-09
