"picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","Location.1","Mammal","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Location.y","Last.Record","obsdate","visit","date_time_obs"
3866,"Gray Fox",1,2016,2,27,"5.33","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-27,50,"2016-02-27 5.33"
3822,"Margay",1,2016,1,13,"3.28","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-01-13,5,"2016-01-13 3.28"
3870,"Ocelot",1,2016,3,4,"1.37","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-04,56,"2016-03-04 1.37"
3825,"unknown",1,2016,1,14,"9.05","","Laguna Seca","No","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-01-14,6,"2016-01-14 9.05"
3855,"unknown",1,2016,2,9,"1.03","","Laguna Seca","No","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-09,32,"2016-02-09 1.03"
3830,"White-tailed Deer",1,2016,1,15,"2.31","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-01-15,7,"2016-01-15 2.31"
3831,"White-tailed Deer",1,2016,1,18,"7.17","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-01-18,10,"2016-01-18 7.17"
3843,"White-tailed Deer",1,2016,1,24,"3.28","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-01-24,16,"2016-01-24 3.28"
3846,"White-tailed Deer",1,2016,2,2,"5.33","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-02,25,"2016-02-02 5.33"
3852,"White-tailed Deer",2,2016,2,8,"10.41","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-08,31,"2016-02-08 10.41"
3876,"White-tailed Deer",1,2016,3,11,"5.27","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-11,63,"2016-03-11 5.27"
3888,"White-tailed Deer",1,2016,3,17,"3.34","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-17,69,"2016-03-17 3.34"
3909,"White-tailed Deer",1,2016,3,26,"8.01","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-26,78,"2016-03-26 8.01"
3927,"White-tailed Deer",1,2016,4,4,"9.04","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-04-04,87,"2016-04-04 9.04"
3930,"White-tailed Deer",1,2016,4,6,"11.47","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-04-06,89,"2016-04-06 11.47"
3933,"White-tailed Deer",1,2016,4,6,"8.49","","Laguna Seca","Yes","602H","Moultrycam",2016-01-09,2016-04-21,106,1956524,289220,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-04-06,89,"2016-04-06 8.49"
