,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
92,501F,Bushnell,No,Yes,No,No,Along wide logging road,Mature forest,17.70212966,-88.95821511,Rainy,134.683,0,No Loss,0.930568755,0.004930961,19.3364,-1574.749858,0.001827316,0.000621304,No
93,505G,Moultrycam,No,Yes,No,No,Along narrow logging trail,Mature forest,17.68428262,-88.97020125,Dry,157.709,0,No Loss,0.922370843,0.006912024,18.8875,-1573.374184,0.001092688,0.005537172,No
94,503G,Bushnell,No,Yes,No,No,At Pond,Mature forest,17.69539964,-88.96766123,Dry,134.561,0,No Loss,0.926212204,0.006290679,17.4392,-1574.318321,0.00029192,0.001532469,No
95,503E,Bushnell,No,Yes,No,No,At Pond,Mature forest,17.69516964,-88.96748722,Rainy,135.277,0,No Loss,0.922884418,0.007603177,17.8052,-1574.294779,0.000567359,0.001271351,No
96,512E,Scoutguard,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49860725,-89.05144915,Rainy,64.9518,0,No Loss,0.920112671,0.00642043,18.3584,-1558.276334,0.001957299,0.007587086,Yes
97,510D,Moultrycam,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49785425,-89.04650709,Rainy,70.7656,0,No Loss,0.924374926,0.004893171,23.1048,-1558.122803,0.001307169,0.004788947,Yes
98,507G,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49653825,-89.04383506,Dry,76.8815,0,No Loss,0.92307547,0.004456247,18.9014,-1557.958866,0.002101997,0.003691017,Yes
99,502G,Moultrycam,No,Yes,No,No,Along narrow logging trail,Mature forest,17.68946963,-88.98449443,Dry,147.855,0,No Loss,0.920337995,0.010507941,20.6409,-1574.088511,0.000712814,0.007167895,No
100,507F,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49442525,-89.04254604,Rainy,79.813,0,No Loss,0.926175997,0.003797672,21.407,-1557.748166,0.001214572,0.004663493,Yes
101,511H,Moultrycam,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49654425,-89.05228316,Dry,62.9644,0,No Loss,0.925703236,0.004655842,18.4321,-1558.107213,0.000773325,0.009722638,Yes
